                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0422,                 1.3561,                0.95094,                      1,                0.16046,                0.38102,                0.30125,                0.96231,                 2.5379,                 0.8355,              0.0003813,              0.0003813,              0.0003813
                     35,                 1.1065,                 1.4844,                0.91433,                0.98546,                0.17401,                0.42502,                0.32113,                0.97629,                 2.4383,                0.83791,              0.0003865,              0.0003865,              0.0003865
                     36,                0.91579,                 1.4915,                0.91126,                0.98546,                0.17401,                0.42502,                0.32113,                0.97629,                 2.4383,                0.83791,             0.00039137,             0.00039137,             0.00039137
                     37,                 1.0109,                 1.4011,                0.89982,                0.97251,                0.18163,                0.48889,                  0.394,                0.97082,                 2.3966,                0.84461,              0.0003959,              0.0003959,              0.0003959
                     38,                0.97471,                 1.2727,                0.89093,                0.95538,                0.20472,                 0.5781,                0.45776,                 0.9728,                 2.3948,                0.84895,             0.00040011,             0.00040011,             0.00040011
                     39,                 1.0007,                 1.3768,                0.88883,                0.95538,                0.20472,                 0.5781,                0.45776,                 0.9728,                 2.3948,                0.84895,             0.00040399,             0.00040399,             0.00040399
                     40,                0.95217,                 1.3511,                0.87258,                0.94264,                0.21898,                0.62553,                0.46983,                0.96662,                 2.3113,                0.84967,             0.00040754,             0.00040754,             0.00040754
                     41,                0.95923,                 1.3908,                0.93653,                0.91945,                0.37018,                0.63819,                0.47804,                  0.954,                 2.2023,                0.85647,             0.00041075,             0.00041075,             0.00041075
                     42,                0.98087,                  1.299,                0.90174,                0.91945,                0.37018,                0.63819,                0.47804,                  0.954,                 2.2023,                0.85647,             0.00041364,             0.00041364,             0.00041364
                     43,                0.95821,                 1.5119,                0.90416,                0.89324,                0.39195,                0.63826,                 0.4739,                0.94042,                 2.0901,                0.86925,              0.0004162,              0.0004162,              0.0004162
                     44,                 1.0533,                 1.3097,                0.90959,                0.89324,                0.39195,                0.63826,                 0.4739,                0.94042,                 2.0901,                0.86925,             0.00041843,             0.00041843,             0.00041843
                     45,                0.86306,                 1.1994,                 0.9065,                0.88391,                0.39435,                0.64404,                0.47833,                0.91329,                 1.9917,                 0.8704,             0.00042033,             0.00042033,             0.00042033
                     46,                0.89033,                  1.382,                 0.9068,                0.88391,                0.39435,                0.64404,                0.47833,                0.91329,                 1.9917,                 0.8704,              0.0004219,              0.0004219,              0.0004219
                     47,                0.93033,                 1.3318,                0.92353,                0.88459,                0.39372,                0.65176,                0.49822,                0.93384,                 1.9162,                0.87497,             0.00042313,             0.00042313,             0.00042313
                     48,                0.96838,                 1.2058,                 0.9045,                0.88459,                0.39372,                0.65176,                0.49822,                0.93384,                 1.9162,                0.87497,             0.00042404,             0.00042404,             0.00042404
                     49,                0.96579,                 1.3602,                0.88434,                0.87818,                0.54987,                 0.6695,                0.49005,                0.93471,                 1.8476,                0.87221,             0.00042462,             0.00042462,             0.00042462
                     50,                0.98269,                 1.2593,                0.91609,                0.87818,                0.54987,                 0.6695,                0.49005,                0.93471,                 1.8476,                0.87221,             0.00042066,             0.00042066,             0.00042066
                     51,                0.99423,                 1.3027,                0.94673,                0.93268,                0.52627,                0.72149,                0.53711,                0.92587,                 1.7306,                0.86984,             0.00042066,             0.00042066,             0.00042066
                     52,                0.97477,                 1.3046,                0.87211,                0.93268,                0.52627,                0.72149,                0.53711,                0.92587,                 1.7306,                0.86984,             0.00041242,             0.00041242,             0.00041242
                     53,                0.90239,                 1.3777,                0.91865,                0.95474,                0.51768,                0.72912,                0.55813,                  0.948,                 1.6004,                0.87659,             0.00040417,             0.00040417,             0.00040417
                     54,                0.93416,                 1.2116,                0.86329,                0.95474,                0.51768,                0.72912,                0.55813,                  0.948,                 1.6004,                0.87659,             0.00039592,             0.00039592,             0.00039592
                     55,                 1.0132,                 1.2736,                0.90624,                0.79244,                0.52507,                0.72792,                0.55073,                0.91119,                 1.4561,                0.87541,             0.00038768,             0.00038768,             0.00038768
                     56,                0.96276,                 1.1384,                 0.8792,                0.79244,                0.52507,                0.72792,                0.55073,                0.91119,                 1.4561,                0.87541,             0.00037943,             0.00037943,             0.00037943
                     57,                0.97473,                 1.3534,                0.93311,                0.79833,                0.61576,                0.74571,                0.56795,                 0.8514,                 1.3435,                0.86919,             0.00037118,             0.00037118,             0.00037118
                     58,                0.95456,                   1.39,                0.88925,                0.79833,                0.61576,                0.74571,                0.56795,                 0.8514,                 1.3435,                0.86919,             0.00036294,             0.00036294,             0.00036294
                     59,                0.88464,                  1.161,                0.86805,                0.82294,                0.70997,                0.75244,                0.57062,                0.81863,                 1.2134,                0.85911,             0.00035469,             0.00035469,             0.00035469
                     60,                0.99084,                 1.1671,                0.89609,                0.82294,                0.70997,                0.75244,                0.57062,                0.81863,                 1.2134,                0.85911,             0.00034644,             0.00034644,             0.00034644
                     61,                0.76606,                 1.1341,                0.88494,                0.82961,                0.74834,                0.76414,                0.58914,                0.82289,                 1.1831,                0.85371,              0.0003382,              0.0003382,              0.0003382
                     62,                0.81231,                 1.0668,                0.88727,                0.82961,                0.74834,                0.76414,                0.58914,                0.82289,                 1.1831,                0.85371,             0.00032995,             0.00032995,             0.00032995
                     63,                0.98863,                  1.252,                0.89777,                0.80614,                0.74459,                0.76231,                0.58292,                0.83098,                 1.1615,                 0.8515,              0.0003217,              0.0003217,              0.0003217
                     64,                0.86144,                 1.2803,                0.87505,                0.80614,                0.74459,                0.76231,                0.58292,                0.83098,                 1.1615,                 0.8515,             0.00031346,             0.00031346,             0.00031346
                     65,                0.95883,                 1.1999,                0.87417,                0.81271,                0.74126,                0.76435,                0.61831,                0.84246,                 1.1431,                 0.8535,             0.00030521,             0.00030521,             0.00030521
                     66,                0.94651,                 1.2279,                0.93559,                0.81271,                0.74126,                0.76435,                0.61831,                0.84246,                 1.1431,                 0.8535,             0.00029696,             0.00029696,             0.00029696
                     67,                0.84666,                 1.0666,                0.86482,                0.82523,                0.74236,                0.76707,                0.62894,                0.84626,                 1.1462,                0.85311,             0.00028872,             0.00028872,             0.00028872
                     68,                 0.8559,                 1.1826,                0.91159,                0.82523,                0.74236,                0.76707,                0.62894,                0.84626,                 1.1462,                0.85311,             0.00028047,             0.00028047,             0.00028047
                     69,                0.85586,                 1.2058,                0.90032,                 0.7783,                0.70655,                0.75864,                0.61573,                0.83638,                  1.119,                0.85634,             0.00027222,             0.00027222,             0.00027222
                     70,                0.91223,                 1.1477,                0.91233,                 0.7783,                0.70655,                0.75864,                0.61573,                0.83638,                  1.119,                0.85634,             0.00026398,             0.00026398,             0.00026398
                     71,                0.86836,                 1.1512,                0.80641,                0.78225,                0.70976,                0.76037,                 0.6027,                0.80818,                 1.0502,                0.85674,             0.00025573,             0.00025573,             0.00025573
                     72,                0.84302,                 1.2031,                0.89091,                0.78225,                0.70976,                0.76037,                 0.6027,                0.80818,                 1.0502,                0.85674,             0.00024748,             0.00024748,             0.00024748
                     73,                0.85431,                 1.1096,                0.84909,                0.78698,                0.71011,                0.76367,                0.61243,                0.77875,                0.97065,                0.85238,             0.00023924,             0.00023924,             0.00023924
